speciesCode,commonName,order,scientificName,COSEWIC,Cavity_Birds,Waterfowl,Marine_Birds,Shorebirds,Wetland_Birds,Birds_of_Prey,Forest_Birds,Grassland_Birds,Aerial_Insectivores,Arctic_Birds,Long_Distance_Migrants
SOSP,Song Sparrow,Passeriformes,Melospiza melodia,0,0,0,0,0,0,0,0,0,0,0,1
SOGR,Sooty Grouse,Galliformes,Dendragapus fuliginosus,0,0,0,0,0,0,0,1,0,0,0,1
SPSA,Spotted Sandpiper,Charadriiformes,Actitis macularius,0,0,0,0,1,1,0,0,0,0,0,1
SWTH,Swainson's Thrush,Passeriformes,Catharus ustulatus,0,0,0,0,0,0,0,1,0,0,0,1
SWSP,Swamp Sparrow,Passeriformes,Melospiza georgiana,0,0,0,0,0,1,0,0,0,0,0,1
TEWA,Tennessee Warbler,Passeriformes,Leiothlypis peregrina,0,0,0,0,0,0,0,1,0,0,0,1
TOSO,Townsend's Solitaire,Passeriformes,Myadestes townsendi,0,0,0,0,0,0,0,1,0,0,0,0
TOWA,Townsend's Warbler,Passeriformes,Setophaga townsendi,0,0,0,0,0,0,0,1,0,0,0,0
TRES,Tree Swallow,Passeriformes,Tachycineta bicolor,0,1,0,0,0,0,0,0,0,1,0,1
UPSA,Upland Sandpiper,Charadriiformes,Bartramia longicauda,0,0,0,0,1,0,0,0,1,0,0,1
VATH,Varied Thrush,Passeriformes,Ixoreus naevius,0,0,0,0,0,0,0,1,0,0,0,0
VEER,Veery,Passeriformes,Catharus fuscescens,0,0,0,0,0,0,0,1,0,0,0,1
VESP,Vesper Sparrow,Passeriformes,Pooecetes gramineus,0,0,0,0,0,0,0,0,1,0,0,1
WAVI,Warbling Vireo,Passeriformes,Vireo gilvus,0,0,0,0,0,0,0,1,0,0,0,1
WETA,Western Tanager,Passeriformes,Piranga ludoviciana,0,0,0,0,0,0,0,1,0,0,0,0
WEWP,Western Wood-Pewee,Passeriformes,Contopus sordidulus,0,0,0,0,0,0,0,1,0,1,0,1
WBNU,White-breasted Nuthatch,Passeriformes,Sitta carolinensis,0,1,0,0,0,0,0,1,0,0,0,1
WCSP,White-crowned Sparrow,Passeriformes,Zonotrichia leucophrys,0,0,0,0,0,0,0,0,0,0,0,1
WTSP,White-throated Sparrow,Passeriformes,Zonotrichia albicollis,0,0,0,0,0,0,0,1,0,0,0,1
WWCR,White-winged Crossbill,Passeriformes,Loxia leucoptera,0,0,0,0,0,0,0,1,0,0,0,1
WIPT,Willow Ptarmigan,Galliformes,Lagopus lagopus,0,0,0,0,0,0,0,0,0,0,1,0
WISN,Wilson's Snipe,Charadriiformes,Gallinago delicata,0,0,0,0,1,1,0,0,0,0,0,1
WIWA,Wilson's Warbler,Passeriformes,Cardellina pusilla,0,0,0,0,0,0,0,0,0,0,0,0
WIWR,Winter Wren,Passeriformes,Troglodytes hiemalis,0,1,0,0,0,0,0,1,0,0,0,1
WOTH,Wood Thrush,Passeriformes,Hylocichla mustelina,1,0,0,0,0,0,0,1,0,0,0,1
YEWA,Yellow Warbler,Passeriformes,Setophaga petechia,0,0,0,0,0,1,0,0,0,0,0,1
YBFL,Yellow-bellied Flycatcher,Passeriformes,Empidonax flaviventris,0,0,0,0,0,0,0,1,0,1,0,1
YBSA,Yellow-bellied Sapsucker,Piciformes,Sphyrapicus varius,0,1,0,0,0,0,0,1,0,0,0,1
YHBL,Yellow-headed Blackbird,Passeriformes,Xanthocephalus xanthocephalus,0,0,0,0,0,1,0,0,0,0,0,1
YRWA,Yellow-rumped Warbler,Passeriformes,Setophaga coronata,0,0,0,0,0,0,0,1,0,0,0,1
YTVI,Yellow-throated Vireo,Passeriformes,Vireo flavifrons,0,0,0,0,0,0,0,1,0,0,0,1
